RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.008246998,52,0,0.363145096,3700.0,3,0,1,0,2.0
0.068769134,67,0,0.291585421,6666.0,13,0,2,0,3.0
0.484589112,37,0,0.373803742,7000.0,10,0,1,0,2.0
0.01585557,64,0,0.112411607,4100.0,10,0,1,0,0.0
0.0,25,1,0.05891636,1900.0,2,0,0,0,0.0
0.0,60,3,0.292697378,6750.0,5,1,1,2,0.0
0.012461753,54,0,0.222196691,4351.0,11,0,1,0,0.0
0.132091359,36,0,0.461418307,3200.0,8,0,2,0,1.0
0.07087744,58,0,0.275158248,7740.0,18,0,1,0,0.0
0.960691923,42,0,1.241580483,3770.0,29,1,2,1,3.0
0.02966865,53,0,0.305562676,3900.0,15,0,1,1,0.0
0.9999999,34,0,1.810841984,2600.0,7,0,2,0,0.0
0.053967137,68,1,0.74690124,2500.0,9,0,1,0,0.0
0.9999999,47,0,0.757432255,3800.0,2,1,0,3,2.0
0.034868996,81,0,0.017391304,4484.0,6,0,0,0,0.0
0.294756011,59,0,0.563535912,4886.0,20,0,3,0,3.0
0.76147208,46,0,0.494569902,5800.0,7,0,1,0,2.0
0.009004321,46,0,0.017327557,3000.0,7,0,0,0,0.0
0.528879393,59,0,0.639218915,8500.0,19,0,1,0,0.0
0.408433359,42,0,0.468075437,4400.0,7,0,1,0,1.0
0.019811546,56,0,0.067488752,6000.0,19,0,1,0,0.0
0.0,56,1,0.500549945,10000.0,8,0,2,0,2.0
0.018324672,46,0,1131.0,,7,0,0,0,0.0
0.982120773,51,0,0.328345802,9623.0,9,0,2,0,1.0
0.008867272,58,0,0.256641604,5984.0,10,0,1,0,1.0
0.723202695,30,0,12.31840796,200.0,9,0,2,0,0.0
0.065258947,53,0,0.172982774,5514.0,13,0,1,0,0.0
0.046441004,41,0,0.447881961,2100.0,3,0,1,0,0.0
0.0,53,0,0.37652226,5008.0,12,0,2,0,2.0
0.81821487,66,0,0.098320813,4525.0,12,0,0,0,0.0
0.428398505,45,0,0.339366516,3756.0,8,0,1,0,0.0
0.0,33,0,806.0,,6,0,1,0,0.0
0.851893513,31,0,0.155576382,3200.0,2,0,0,0,0.0
0.227737854,53,0,1.372434018,3750.0,12,0,2,0,0.0
0.034390557,65,0,0.225815144,3710.0,10,0,0,0,1.0
0.132956425,48,0,0.630987182,4446.0,7,0,1,0,2.0
0.9999999,67,0,0.384271513,17000.0,9,0,3,0,0.0
0.030848458,61,0,1732.0,,9,0,1,0,
0.35698725,67,0,0.10936357,2733.0,2,0,0,0,0.0
0.103955339,59,0,0.241543734,6710.0,17,0,2,0,1.0
0.879864636,61,0,456.0,,6,0,0,0,0.0
0.0,59,0,0.033996762,10500.0,9,0,0,0,0.0
0.653869226,62,0,0.389566613,6229.0,6,0,1,0,3.0
0.042296246,42,0,0.268591772,7583.0,13,0,2,0,3.0
0.005216938,74,0,1.0,0.0,4,0,0,0,0.0
0.397824817,55,0,0.116446579,9995.0,6,0,1,0,1.0
0.139435375,66,0,1824.0,,6,0,1,0,0.0
0.0,41,2,0.287486179,20800.0,12,0,1,1,5.0
0.221007496,61,0,0.618258353,3800.0,10,0,2,0,0.0
0.030723037,37,0,0.513137558,5175.0,10,0,2,0,0.0
0.523856126,39,0,0.340653662,7740.0,13,0,1,0,1.0
0.0,51,0,0.355552363,6960.0,7,0,1,0,0.0
0.016361242,57,0,0.220898258,12000.0,24,0,1,0,2.0
0.014174482,74,0,0.037446286,3257.0,9,0,0,0,1.0
0.012472375,82,0,17.0,,9,0,0,0,0.0
0.317984571,64,0,0.251974347,18866.0,12,0,2,0,0.0
0.041004229,29,1,0.316184191,6666.0,12,0,1,0,0.0
0.010522704,86,0,0.196695096,1875.0,10,0,1,0,0.0
0.195046916,33,0,0.398522382,2300.0,10,0,1,0,1.0
0.033715834,66,0,0.382860867,3068.0,8,0,1,0,0.0
0.002205726,64,0,0.160641711,14024.0,17,0,1,0,0.0
0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1.0
0.944375952,41,5,0.285031155,6900.0,10,2,0,0,3.0
1.262719106,65,0,0.464468288,17800.0,20,0,3,0,1.0
0.077792264,27,1,0.206042956,2746.0,3,3,0,2,0.0
0.212264597,32,0,0.087685915,25750.0,10,0,1,0,3.0
0.867949444,62,1,0.456806283,4583.0,15,0,1,0,3.0
0.319600499,61,0,0.00137228,5100.0,4,0,0,0,1.0
0.160904619,65,0,0.004999929,70000.0,4,0,0,0,1.0
0.280571731,52,0,0.089955022,2000.0,7,0,0,0,0.0
0.469248033,42,1,0.168598939,5088.0,9,0,0,0,0.0
0.046224118,52,0,0.139815533,11600.0,11,0,2,0,0.0
0.016842105,58,0,0.096195977,5020.0,9,0,0,0,0.0
0.785020281,29,2,0.323823458,4100.0,7,2,0,0,0.0
0.0,35,0,0.33406406,8210.0,7,0,1,0,1.0
0.0,26,0,0.378197998,898.0,2,0,0,0,0.0
0.880013332,62,0,0.138469039,2050.0,8,0,0,0,0.0
0.632247596,68,0,0.143485651,10000.0,9,0,0,0,1.0
0.012465836,56,0,0.000749513,6670.0,3,0,0,0,0.0
0.822798178,54,0,0.943071369,3600.0,20,3,2,1,1.0
0.237594957,55,0,0.151469252,3300.0,7,0,0,0,0.0
0.968561258,49,0,0.133397313,8335.0,4,0,0,1,1.0
0.930027989,29,0,0.333833083,2000.0,4,0,0,0,0.0
0.02623575,63,0,0.007635253,4583.0,7,0,0,0,0.0
0.99222395,50,1,0.149300156,4500.0,4,1,0,0,1.0
0.04621108,51,0,0.114222144,40000.0,11,0,2,0,2.0
0.099401004,58,0,3592.0,,14,0,1,0,9.0
0.102286833,52,1,0.352252166,10500.0,13,0,1,0,0.0
0.861055556,51,1,0.352599179,5847.0,16,0,0,0,0.0
0.9999999,71,0,0.469458988,9167.0,4,0,2,0,0.0
0.16341229,43,0,0.537355671,8833.0,11,0,3,0,2.0
0.017512196,56,0,2135.0,,10,0,1,0,5.0
0.558110472,42,0,0.038080334,3833.0,4,0,0,0,4.0
0.103714071,58,0,0.234177854,9906.0,26,0,2,0,0.0
0.0,39,0,0.0,,2,0,0,0,
0.054696594,59,0,0.264021247,6400.0,18,0,1,0,3.0
0.372319763,78,0,0.517775752,5484.0,6,0,1,0,0.0
0.014715048,67,0,0.511622094,4000.0,6,0,1,0,0.0
0.084037973,71,0,1.092529389,2636.0,18,0,2,0,0.0
0.022244284,58,0,0.078427016,4500.0,8,0,0,0,2.0
0.082638256,52,0,5545.0,,18,0,2,0,2.0
0.9999999,43,1,0.761809548,4000.0,6,0,1,0,2.0
0.007189449,40,0,0.299041336,9700.0,11,0,2,0,2.0
0.119103305,56,0,0.497229917,4331.0,16,0,2,0,1.0
0.028529421,56,0,2592.0,,12,0,2,0,0.0
0.064853437,56,0,3513.0,,6,0,3,0,3.0
0.005965246,68,1,636.0,,9,0,0,0,0.0
0.027762241,48,0,0.250121497,6172.0,7,0,1,0,1.0
0.191137775,45,2,1.228532485,2200.0,11,0,1,0,2.0
0.9999999,42,0,4424.0,,5,0,2,0,0.0
0.9999999,49,1,1.117339529,3442.0,5,0,1,0,2.0
0.256510533,29,1,8901.0,0.0,17,0,9,0,1.0
0.024931671,39,0,0.555737705,4879.0,6,0,3,0,2.0
0.041247422,54,0,0.002279818,8333.0,3,0,0,0,0.0
0.625966251,40,0,0.043387199,48700.0,11,0,2,0,0.0
0.003349833,57,0,0.253005041,5157.0,2,0,1,0,1.0
0.003555845,79,0,938.0,,11,0,1,0,0.0
0.0,21,0,0.0,,1,0,0,0,0.0
0.289095196,49,0,0.505382997,8080.0,24,0,2,0,2.0
0.514817451,48,0,0.764411811,6400.0,19,0,1,0,1.0
0.002367408,40,0,0.585828343,1001.0,12,0,0,0,0.0
0.17259292,60,0,0.144097679,19000.0,12,0,2,0,0.0
0.172293148,50,0,0.829564682,6500.0,21,0,4,0,0.0
0.104464253,50,0,0.48193096,7415.0,20,0,2,0,2.0
0.052907426,38,0,0.410797744,6204.0,12,0,1,0,3.0
0.038919167,32,0,0.158508159,8150.0,5,0,1,0,2.0
0.006891076,87,0,0.005994006,1000.0,10,0,0,0,0.0
0.442092985,51,0,1378.0,,5,0,1,0,0.0
0.034938062,79,0,0.006268437,8135.0,3,0,0,0,0.0
0.139057396,41,0,0.046804527,11750.0,5,0,0,0,2.0
0.186890655,54,0,0.655589124,3640.0,7,0,1,0,1.0
0.509936183,38,0,0.801389327,3166.0,7,0,2,0,1.0
0.070283889,57,0,0.53444789,7416.0,9,0,3,0,1.0
0.481633336,52,0,0.313835771,5333.0,3,0,1,0,0.0
0.287054067,39,1,0.368283777,5750.0,15,0,2,0,0.0
0.538991525,41,5,1.279906698,3000.0,10,1,2,0,3.0
0.335712013,41,0,0.648859731,3200.0,3,0,2,0,0.0
0.0,30,1,0.678464307,5000.0,13,0,2,0,0.0
0.114706004,80,0,0.117110544,2740.0,2,0,0,0,0.0
0.0,56,0,0.733152828,3323.0,12,0,1,0,1.0
0.029424906,69,0,0.486895925,6600.0,10,0,1,0,0.0
0.023462917,41,0,0.532546745,10000.0,10,0,3,0,0.0
0.195287886,31,0,729.0,,6,0,0,0,0.0
0.047908462,64,0,0.310384231,7000.0,13,0,3,0,0.0
0.234588471,73,0,0.607874016,634.0,8,0,1,0,0.0
0.487216112,31,0,0.143245342,2575.0,7,0,0,0,0.0
0.125554653,28,0,0.44761508,4800.0,5,0,2,0,0.0
0.725116039,45,0,0.52308528,1840.0,8,0,0,0,3.0
0.076352576,93,0,0.027941553,3900.0,2,0,0,0,0.0
0.036761211,57,0,0.202425736,15417.0,22,0,2,0,0.0
0.66189968,64,1,0.277611652,10366.0,11,1,1,0,0.0
0.720249045,37,0,0.608956854,1830.0,18,0,0,0,3.0
0.335748245,49,0,0.199609306,5630.0,8,0,0,0,2.0
0.365649586,45,0,0.278418705,6500.0,7,0,1,0,3.0
0.144547041,51,0,0.539878731,8575.0,12,0,1,0,1.0
0.091311998,60,1,0.106532737,13638.0,14,0,1,0,0.0
0.788289896,26,0,0.427857589,1600.0,11,1,0,0,0.0
0.199956046,27,0,0.19046058,6100.0,10,0,0,0,1.0
0.798345492,57,0,7504.0,,20,0,2,0,0.0
0.026996625,23,0,0.007308161,820.0,4,0,0,0,0.0
0.164391463,35,0,0.01561524,1600.0,2,0,0,0,0.0
0.819601087,54,0,5.054228914,8500.0,35,0,2,0,0.0
0.011332956,47,0,0.001176332,8500.0,2,0,0,0,1.0
0.112559113,52,0,0.371942778,6500.0,18,0,1,0,0.0
0.207056117,37,1,0.532917063,7366.0,17,0,1,0,2.0
0.138212172,67,0,2208.0,,13,0,0,0,3.0
0.9999999,44,1,0.399580021,6666.0,7,2,1,0,1.0
0.318015336,38,0,0.446901517,3888.0,20,0,1,0,4.0
0.007607175,45,0,0.00659868,5000.0,5,0,0,0,1.0
0.9999999,37,0,0.0,4690.0,1,0,0,0,0.0
0.362145618,35,0,0.279696041,7500.0,10,0,0,0,0.0
0.0,73,0,0.201996323,7613.0,3,0,2,0,0.0
0.040547951,74,0,0.020736901,5400.0,5,0,0,0,0.0
0.584351322,54,0,1453.0,,3,0,1,0,0.0
0.084416512,38,0,0.105910956,6580.0,7,0,0,0,0.0
0.192194427,46,1,0.611997144,4200.0,9,0,1,0,2.0
0.029271663,42,0,0.18064247,4793.0,6,0,1,0,1.0
0.01379954,62,0,12.0,,2,0,0,0,0.0
0.389547097,44,3,0.512801756,4100.0,11,0,2,0,1.0
1.194825559,59,0,0.409217102,1800.0,3,3,1,3,0.0
0.466613355,28,0,0.14474651,1360.0,4,0,0,0,0.0
0.072850169,67,0,1.012435991,4100.0,9,0,2,0,1.0
0.850271658,64,0,0.513302487,6915.0,4,0,1,0,0.0
0.086451926,73,0,98.0,,5,0,0,0,0.0
0.012449378,24,0,7.0,,1,0,0,0,0.0
0.001703672,67,0,0.422915417,5000.0,7,0,2,0,2.0
0.999597342,32,0,0.273678836,3916.0,12,0,0,0,0.0
0.0,59,1,0.227422615,9400.0,14,0,1,0,1.0
0.728363561,66,1,0.625858465,3348.0,7,0,1,0,0.0
0.960856616,56,1,0.248805586,2720.0,10,1,0,0,1.0
0.017392351,54,0,0.274483678,1500.0,7,0,0,0,0.0
0.0,75,0,0.0,3900.0,6,0,0,0,0.0
0.464688971,29,0,0.13034188,6083.0,9,0,0,0,0.0
0.030298485,37,0,0.314575412,3944.0,7,0,1,0,1.0
0.008922443,50,0,2.479927284,6600.0,16,0,3,0,0.0
0.629229766,54,0,2.298507463,200.0,6,0,0,0,1.0
0.089710762,56,0,489.0,,13,0,0,0,0.0
0.016449589,38,0,0.051561912,7970.0,3,0,0,0,0.0
0.0,61,0,0.240268552,14000.0,7,0,3,0,0.0
0.072531575,57,0,0.071380471,1484.0,12,0,0,0,0.0
0.183639089,51,0,2373.0,,13,0,1,0,0.0
0.062492951,40,0,1.011247188,4000.0,15,0,3,0,1.0
0.00349965,32,0,0.95430945,1925.0,9,0,1,0,3.0
0.0,44,0,0.401638357,8300.0,4,0,2,0,4.0
0.001619165,54,0,0.571618921,1500.0,11,0,0,0,0.0
0.084688547,67,0,0.728930169,5813.0,13,0,2,0,0.0
0.456154172,48,0,0.03124566,7200.0,1,0,0,0,2.0
0.024560965,27,0,1.432783608,2000.0,5,1,1,0,0.0
0.237083484,49,0,1457.0,,18,0,1,0,0.0
0.036178564,76,0,0.342841909,3750.0,16,0,2,0,0.0
0.0,30,0,183.0,,4,0,0,0,0.0
0.052907443,65,0,0.055403303,13500.0,4,0,0,0,0.0
0.020845934,69,0,0.155384176,3500.0,3,0,0,0,0.0
0.010351033,72,0,1830.0,,36,0,2,0,0.0
0.335988,46,0,0.523052209,6224.0,7,0,2,0,0.0
0.021894278,63,0,0.449275362,5864.0,9,0,2,0,0.0
0.10708913,64,0,0.407858861,12469.0,23,0,3,0,1.0
0.04799616,33,0,675.0,,2,0,1,0,0.0
0.118588927,54,0,0.072372865,10362.0,8,0,1,0,0.0
0.204431823,60,0,0.04269573,10000.0,6,0,0,0,1.0
0.165060318,67,0,0.343914021,4000.0,11,0,1,0,0.0
0.048870542,63,0,0.195322196,10474.0,5,0,2,0,1.0
0.757471736,51,0,0.284708533,3550.0,4,0,0,0,1.0
0.103508878,36,0,0.385589594,5842.0,8,0,2,0,3.0
0.125485783,55,1,0.312306853,5500.0,22,0,1,0,0.0
0.000124415,59,0,1659.0,,8,0,1,0,1.0
0.712050745,43,0,0.657153245,5500.0,20,0,2,0,1.0
0.20901617,36,0,0.381667449,6392.0,12,0,2,0,2.0
0.026129095,55,1,0.367650588,12500.0,23,0,2,0,2.0
0.070388792,60,0,824.0,,6,0,1,0,0.0
0.021895797,57,0,2090.0,,8,0,1,0,0.0
0.058379562,64,0,77.0,,9,0,0,0,0.0
0.189950924,58,0,0.289630119,9083.0,13,0,2,0,1.0
0.085104103,38,0,2099.0,,7,0,1,0,0.0
0.9999999,63,0,0.315698573,11000.0,5,0,2,0,2.0
0.9999999,79,0,22.0,,1,0,1,0,0.0
0.030458157,73,0,0.403942294,7000.0,8,0,3,0,1.0
0.084212281,78,1,773.0,,4,0,1,0,0.0
0.788249625,38,1,0.600127389,7849.0,17,0,2,0,3.0
0.0,59,0,0.0,5750.0,3,0,0,0,0.0
1.060967988,57,2,0.314037193,3333.0,2,0,0,0,0.0
0.116237799,47,1,29136.0,,23,0,2,0,0.0
0.9999999,29,0,0.0,1700.0,1,0,0,0,0.0
0.538922156,32,0,0.004514673,1771.0,1,0,0,0,0.0
0.003649939,47,0,0.179277108,6224.0,7,0,1,0,1.0
0.031124444,66,0,857.0,,7,0,1,0,1.0
0.658544156,53,0,0.951917573,5240.0,17,0,4,1,1.0
0.745093532,31,0,0.571154308,4166.0,11,0,1,0,0.0
0.300021806,74,1,0.295710121,2400.0,11,0,1,0,0.0
0.0,67,0,0.003498251,2000.0,6,0,0,0,0.0
0.003116843,46,2,0.418681913,12942.0,14,0,3,0,2.0
0.9999999,33,0,0.830939829,5500.0,12,0,2,0,1.0
0.003771321,26,0,0.231896935,2250.0,4,0,0,0,0.0
0.017636813,69,0,0.018691589,3958.0,11,0,0,0,0.0
1.953488372,38,0,0.153500141,3556.0,5,0,0,0,2.0
0.0,72,0,0.283648658,13900.0,10,0,2,0,0.0
0.183431131,54,0,0.235874848,6583.0,9,0,1,0,0.0
0.178964154,56,0,0.552930754,6772.0,6,0,1,0,1.0
0.015811512,58,0,7.0,,4,0,0,0,0.0
0.167737773,75,1,1.009223674,1300.0,8,0,1,0,0.0
1.156146179,43,0,1321.0,,5,0,1,0,0.0
0.703877747,58,0,0.263838297,14000.0,11,0,0,0,3.0
0.0,76,0,1.0,,2,0,0,0,
0.752234316,47,0,0.443575419,2684.0,10,0,1,0,2.0
0.025450801,74,0,0.31404848,7466.0,14,0,1,0,2.0
0.010009462,86,1,0.000633312,9473.0,9,0,0,0,0.0
0.137196324,47,1,0.724629499,7084.0,10,0,2,0,2.0
0.0,22,0,0.012180268,820.0,2,0,0,0,0.0
0.015212865,59,0,0.151041054,8500.0,9,0,1,0,0.0
0.210299106,63,0,2805.0,,7,0,2,0,0.0
0.242737738,45,0,0.304829871,7846.0,8,0,2,0,4.0
0.0,56,0,1310.0,,6,0,1,0,5.0
0.05676666,26,0,317.0,,7,0,0,0,0.0
0.981517952,54,7,0.506766917,3324.0,10,0,1,0,1.0
0.9999999,90,0,303.0,,0,0,0,0,0.0
0.289939075,60,1,0.765489674,1500.0,16,0,0,0,0.0
0.911941165,35,0,0.589483612,4240.0,7,0,1,0,1.0
0.590277268,66,1,0.458756874,6000.0,9,0,1,0,0.0
0.9999999,36,0,0.0,4975.0,0,0,0,0,0.0
0.0,73,3,0.065993598,4060.0,13,0,1,0,0.0
0.9999999,64,0,0.491131893,3100.0,5,0,3,0,0.0
0.19679016,74,0,0.146829201,7300.0,3,0,1,0,0.0
0.183477619,70,0,1.259474053,10000.0,14,0,9,0,0.0
0.9999999,26,0,0.149023171,2200.0,3,0,0,0,0.0
0.144988493,87,0,54.0,,1,0,0,0,0.0
0.525810538,59,0,2867.0,,3,0,1,0,0.0
0.0,24,0,0.0,0.0,1,0,0,0,0.0
0.419186106,45,0,0.587948954,7600.0,13,0,1,0,2.0
0.015282054,70,0,0.244503664,1500.0,6,0,0,0,0.0
0.9999999,24,1,0.036654449,3000.0,4,2,0,0,0.0
0.03053654,78,0,0.011358473,2200.0,5,0,0,0,0.0
0.025294801,61,0,0.359261142,5900.0,11,0,1,0,0.0
0.673069936,59,1,0.436351706,7619.0,10,0,2,0,0.0
0.163968692,55,0,0.250188395,27866.0,24,0,1,0,3.0
0.033728464,50,0,1.281874795,3050.0,12,0,3,0,0.0
0.05107604,66,1,1960.0,,11,0,1,0,0.0
0.063358284,62,0,0.206410411,8298.0,12,0,1,0,1.0
0.0,51,0,0.319278418,4600.0,9,0,3,0,2.0
0.157338874,58,2,1626.0,,10,0,1,0,0.0
0.9999999,45,0,0.20607243,8200.0,3,0,1,0,0.0
0.41093712,33,0,0.199829206,8196.0,11,0,0,0,4.0
0.022162973,42,0,1184.0,,6,0,1,0,0.0
0.18168532,63,0,0.347896816,4302.0,6,0,1,0,0.0
0.012590422,53,0,0.23272403,11214.0,7,0,2,0,0.0
0.32443242,65,0,0.04671916,1904.0,2,1,0,0,0.0
0.115114261,72,0,0.01995184,5813.0,6,0,0,0,0.0
0.510731857,57,0,0.422766179,12500.0,14,0,4,0,3.0
0.188514357,51,0,0.704329461,946.0,4,0,1,0,0.0
